position_mm,Laplacian Variance,mtf50_cycles_per_px
300.0000,16.574734,0.006579
303.8462,16.804353,0.006664
307.6923,17.042081,0.006337
311.5385,17.276451,0.005743
315.3846,17.468804,0.006429
319.2308,17.674820,0.006250
323.0769,17.981092,0.006049
326.9231,18.250263,0.006617
330.7692,18.605749,0.005935
334.6154,18.995382,0.006729
338.4615,19.553684,0.006628
342.3077,20.084441,0.006775
346.1538,20.890854,0.006605
350.0000,22.192155,0.006517
353.8462,24.688365,0.006516
357.6923,32.685940,0.006218
361.5385,62.020489,0.006118
365.3846,155.242521,0.005844
369.2308,256.522202,0.005694
373.0769,168.014946,0.005866
376.9231,70.966815,0.006116
380.7692,39.777514,0.006210
384.6154,31.083462,0.006491
388.4615,27.701275,0.006386
392.3077,26.123480,0.006838
396.1538,25.527068,0.006827
400.0000,25.279915,0.006900
403.8462,25.305850,0.006699
407.6923,25.320335,0.006451
411.5385,25.474057,0.006406
415.3846,25.625642,0.006563
419.2308,25.721837,0.006957
423.0769,25.774730,0.007185
426.9231,25.710578,0.006805
430.7692,25.622311,0.006609
434.6154,25.616354,0.006778
438.4615,25.531943,0.006158
442.3077,25.496114,0.006509
446.1538,25.463143,0.006599
450.0000,25.374185,0.006257
365.3846,153.747171,0.005820
366.2393,184.000059,0.005800
367.0940,212.890072,0.005745
367.9487,237.654303,0.005703
368.8034,252.286296,0.005694
369.6581,256.067672,0.005702
370.5128,246.467974,0.005717
371.3675,226.249034,0.005737
372.2222,199.237981,0.005844
373.0769,169.464406,0.005883
