sweep_axis,tilt_angle,repeat,position,label,angle_x,angle_y,cx,cy
x,0.02,0,0,"(-x,+y)",-0.02,0.0,1215.3823706422443,826.3999229996188
x,0.02,0,1,"(0,+y)",0.0,0.0,1215.4838753349948,826.4110540699963
x,0.02,0,2,"(+x,+y)",0.02,0.0,1215.5865211059393,826.3973234168875
x,0.02,0,3,"(-x, 0)",-0.02,0.0,1215.3841811513848,826.4319727628401
x,0.02,0,4,"(0, 0)",0.0,0.0,1215.491100915066,826.4178497204739
x,0.02,0,5,"(+x, 0)",0.02,0.0,1215.6007935624186,826.3980204751437
x,0.02,0,6,"(-x,-y)",-0.02,-0.0,1215.4156185288177,826.405374315167
x,0.02,0,7,"(0,-y)",0.0,-0.0,1215.516846583417,826.407662089686
x,0.02,0,8,"(+x,-y)",0.02,-0.0,1215.6133652394637,826.4097844384183
x,0.02,1,0,"(-x,+y)",-0.02,0.0,1215.4214901792413,826.4001807944405
x,0.02,1,1,"(0,+y)",0.0,0.0,1215.512872046199,826.3883705393326
x,0.02,1,2,"(+x,+y)",0.02,0.0,1215.6160286136853,826.3928150799771
x,0.02,1,3,"(-x, 0)",-0.02,0.0,1215.4268881598925,826.3929162465037
x,0.02,1,4,"(0, 0)",0.0,0.0,1215.5164544702498,826.4041906111638
x,0.02,1,5,"(+x, 0)",0.02,0.0,1215.6151146931006,826.3939938705976
x,0.02,1,6,"(-x,-y)",-0.02,-0.0,1215.428195942262,826.3999302243384
x,0.02,1,7,"(0,-y)",0.0,-0.0,1215.5110768236295,826.3948593925483
x,0.02,1,8,"(+x,-y)",0.02,-0.0,1215.6183658983593,826.3986860556007
x,0.02,2,0,"(-x,+y)",-0.02,0.0,1215.4200142264522,826.4243083794629
x,0.02,2,1,"(0,+y)",0.0,0.0,1215.5227352381307,826.4261047503176
x,0.02,2,2,"(+x,+y)",0.02,0.0,1215.6231372767918,826.40383682131
x,0.02,2,3,"(-x, 0)",-0.02,0.0,1215.4359522376735,826.4081931160492
x,0.02,2,4,"(0, 0)",0.0,0.0,1215.5440028605474,826.4106288126601
x,0.02,2,5,"(+x, 0)",0.02,0.0,1215.625461838221,826.3966267877697
x,0.02,2,6,"(-x,-y)",-0.02,-0.0,1215.4389822479661,826.4055890077977
x,0.02,2,7,"(0,-y)",0.0,-0.0,1215.533533897533,826.3871285711618
x,0.02,2,8,"(+x,-y)",0.02,-0.0,1215.6390103430376,826.3924182678832
x,0.02,3,0,"(-x,+y)",-0.02,0.0,1215.434304494202,826.3880455718729
x,0.02,3,1,"(0,+y)",0.0,0.0,1215.5358177376029,826.3882436383468
x,0.02,3,2,"(+x,+y)",0.02,0.0,1215.632674482216,826.3836949056964
x,0.02,3,3,"(-x, 0)",-0.02,0.0,1215.444450574878,826.3834932363742
x,0.02,3,4,"(0, 0)",0.0,0.0,1215.5391249527738,826.3942618825656
x,0.02,3,5,"(+x, 0)",0.02,0.0,1215.6273933772904,826.3873859057445
x,0.02,3,6,"(-x,-y)",-0.02,-0.0,1215.438836805169,826.3897212808553
x,0.02,3,7,"(0,-y)",0.0,-0.0,1215.5385190973936,826.3733670982085
x,0.02,3,8,"(+x,-y)",0.02,-0.0,1215.6358384252794,826.3850829154092
x,0.02,4,0,"(-x,+y)",-0.02,0.0,1215.4526855909953,826.3838745687957
x,0.02,4,1,"(0,+y)",0.0,0.0,1215.5514386235375,826.3805832510233
x,0.02,4,2,"(+x,+y)",0.02,0.0,1215.6388329025874,826.3803575872831
x,0.02,4,3,"(-x, 0)",-0.02,0.0,1215.4526368619386,826.3779078586024
x,0.02,4,4,"(0, 0)",0.0,0.0,1215.5520898409193,826.3759598584686
x,0.02,4,5,"(+x, 0)",0.02,0.0,1215.6441544481315,826.3860496635425
x,0.02,4,6,"(-x,-y)",-0.02,-0.0,1215.4584169547918,826.3684048685503
x,0.02,4,7,"(0,-y)",0.0,-0.0,1215.5541604370003,826.3588386825073
x,0.02,4,8,"(+x,-y)",0.02,-0.0,1215.6414101310042,826.3712620009886
x,0.039999999999999994,0,0,"(-x,+y)",-0.039999999999999994,0.0,1215.3710065556231,826.3758443303318
x,0.039999999999999994,0,1,"(0,+y)",0.0,0.0,1215.563156695856,826.3752963524895
x,0.039999999999999994,0,2,"(+x,+y)",0.039999999999999994,0.0,1215.7016793548669,826.3943519055889
x,0.039999999999999994,0,3,"(-x, 0)",-0.039999999999999994,0.0,1215.3813860231448,826.3709107144799
x,0.039999999999999994,0,4,"(0, 0)",0.0,0.0,1215.569432529644,826.3587555362012
x,0.039999999999999994,0,5,"(+x, 0)",0.039999999999999994,0.0,1215.7112174217525,826.3917334480348
x,0.039999999999999994,0,6,"(-x,-y)",-0.039999999999999994,-0.0,1215.3869282450657,826.3516925099676
x,0.039999999999999994,0,7,"(0,-y)",0.0,-0.0,1215.575873232044,826.3700636070655
x,0.039999999999999994,0,8,"(+x,-y)",0.039999999999999994,-0.0,1215.7130997890233,826.379375607528
x,0.039999999999999994,1,0,"(-x,+y)",-0.039999999999999994,0.0,1215.4009669542384,826.3516472646328
x,0.039999999999999994,1,1,"(0,+y)",0.0,0.0,1215.5920262821915,826.3500289699771
x,0.039999999999999994,1,2,"(+x,+y)",0.039999999999999994,0.0,1215.7069802517367,826.3866786514856
x,0.039999999999999994,1,3,"(-x, 0)",-0.039999999999999994,0.0,1215.3857850390045,826.3584760025338
x,0.039999999999999994,1,4,"(0, 0)",0.0,0.0,1215.564635744975,826.3420596070549
x,0.039999999999999994,1,5,"(+x, 0)",0.039999999999999994,0.0,1215.7016331664936,826.3788740249055
x,0.039999999999999994,1,6,"(-x,-y)",-0.039999999999999994,-0.0,1215.3872284279457,826.3457090162038
